logread -f
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_MessagingServices' is truncated to 'framework.hashMap_MessagingServ'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_MessagingClients' is truncated to 'framework.hashMap_MessagingClie'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.PipelineSIGCHLD-reports' is truncated to 'framework.PipelineSIGCHLD-repor'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME fs_Init() 840 | FS prefix path "/data/le_fs/"
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_refFsFileRefMap' is truncated to 'framework.hashMap_refFsFileRefM'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME rand_Init() 71 | getrandom function: 0xb6cb9150
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME le_mem_ForceAlloc() 833 | Memory pool 'framework.DestructorObjs' overflowed. Expanded to 1 blocks.
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/<invalid> T=main | _componentMain.c _cf3GpioControlComponent_Init() 32 | Initializing cf3GpioControlComponent component library.
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_refle_sensorGpio_Client' is truncated to 'framework.hashMap_refle_sensorG'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME msgMessage_CreatePool() 112 | Pool name truncated to 'msgs-eb4b6dc575d64f27484e765727' for protocol 'eb4b6dc575d64f27484e7657275f11fd'.
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.msgs-eb4b6dc575d64f27484e765727' is truncated to 'framework.msgs-eb4b6dc575d64f27'
